"[run number]","wolf-gain-from-food","fix-initialization?","move-one-sheep?","hunt-wolves?","l10-too-many-sheep","initialization-seed","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","max-sheep","sheep-reproduce","[step]","count sheep","count wolves","mn-sheep","mx-sheep","mn-wolves","mx-wolves","ticks"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","423","50602","0","2","50602","0","576","423"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","505","10240497","38768","12","10240497","1","38768","505"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","429","52017","0","2","52017","0","482","429"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","151","0","475","0","750","39","739","151"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","390","50006","0","11","50006","0","392","390"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","412","51697","0","4","51697","0","535","412"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","168","0","73","0","573","39","607","168"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","394","50473","0","6","50473","0","388","394"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","390","51789","0","12","51789","0","458","390"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","171","0","72","0","593","35","590","171"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","339","51690","0","21","51690","0","336","339"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","422","50800","0","2","50800","0","515","422"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","479","51493","0","1","51493","0","692","479"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","410","50773","0","2","50773","0","455","410"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","137","0","340","0","491","48","532","137"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","158","0","173","0","467","42","533","158"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","416","51220","0","2","51220","0","417","416"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","147","0","131","0","490","41","504","147"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","417","51847","0","5","51847","0","519","417"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","369","0","1708","0","2814","1","1708","369"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","406","50418","0","4","50418","0","500","406"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","162","0","107","0","586","41","567","162"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","385","51650","0","6","51650","0","433","385"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","449","51457","0","1","51457","0","716","449"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","407","50937","0","9","50937","0","464","407"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","346","0","1141","0","1336","13","1156","346"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","348","0","2006","0","4181","6","2006","348"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","376","50512","0","15","50512","0","371","376"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","381","50249","0","4","50249","0","453","381"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","384","51508","0","7","51508","0","419","384"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","402","51534","0","3","51534","0","547","402"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","387","51720","0","8","51720","0","449","387"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","389","51382","0","2","51382","0","466","389"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","444","50802","0","3","50802","0","501","444"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","405","0","2801","0","8415","1","2801","405"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","425","51172","0","4","51172","0","408","425"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","401","51515","0","4","51515","0","516","401"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","137","0","318","0","595","37","629","137"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","406","0","2110","0","5206","1","2110","406"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","138","0","257","0","463","36","504","138"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","379","50263","0","9","50263","0","448","379"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","380","51438","0","8","51438","0","462","380"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","426","50343","0","2","50343","0","492","426"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","427","0","7959","0","47140","2","7959","427"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","391","51825","0","10","51825","0","416","391"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","441","0","6704","0","35634","2","6704","441"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","149","0","254","0","555","37","564","149"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","463","51336","0","3","51336","0","637","463"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","139","0","458","0","688","31","698","139"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","383","50958","0","10","50958","0","418","383"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","368","51948","0","10","51948","0","379","368"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","377","0","2524","0","5456","2","2524","377"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","146","0","227","0","527","42","567","146"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","413","50048","0","3","50048","0","486","413"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","392","51616","0","4","51616","0","486","392"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","417","50577","0","5","50577","0","488","417"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","154","0","41","0","463","39","518","154"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","432","0","3894","0","17861","1","3894","432"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","154","0","421","0","755","31","771","154"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","391","50909","0","9","50909","0","459","391"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","139","0","560","0","646","38","732","139"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","426","51774","0","4","51774","0","545","426"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","346","0","984","0","1191","6","1051","346"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","408","0","4982","0","24724","1","4982","408"
